FC PH Master Data,COUNTRY CODE,COUNTRY NAME,REGION CODE,EQUIVALENCE,REGION NAME,SUB REGION,EQUIVALENCE,SUB REGION NAME,TERRITORY CODE,TERRITORY NAME,AREA CODE,AREA NAME,dist
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,DAB,Dabou,SNGON,SONGON/ CARREFOUR JACQUESVILLE/ JACQUESVILLE/ DABOU/GRAND LAHOU/FRESCO/,NOUVEAUX DISTRIBUTEURS ASSOCIES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,DKUI,DOKUI / ANADOR / COCO SERVICE DERRIÈRE UNIVERSITÉ ABOBO/ADJAMÉ / ALEPE,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,AOCATIERAVOCATIE,AVOCATIER / BC AUTOUTE / NOUVELLE GARE / AGNISSANKOI / BC,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,SMANKEKE,SAMANKE / KOLETCHA / ABOBO BAOULE / BIABOU,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,AEIKOIOI,AKEIKOI  / HABITAT  / AGBEKOI /  HOUPHOUT BOIGNY,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,LCEEMO,LYCEE MODERNE / ETOILE / GENDARMERIE / BON PRIX GENDARMERIE / CHATTONS,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,CTEPOL,CITE POLICIERE / CAMP COMMANDO / CNPS / AVENUE KAZA / COLATIER,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 1,Abobo 1,AOBOGA,ABOBO GARE  / MAIRIE,ETABLISSEMENT NIARE & FRERES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 2,Abobo 2,MSQUEB,MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 2,Abobo 2,MSQUEB,MOSQUE BLANCHE/ANOKOUA KOUTE/MARAHOUE/AGRIPAC,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 2,Abobo 2,SDECIO,SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 2,Abobo 2,SDECIO,SODECI/ONUCI/SOTRAPIM/CARREFOUR DIALLO/TAXI BAGAGE,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ABO 2,Abobo 2,CACOCC,CMA/COCCINELLE/CONCORDE/BOIS SEC/DELICE DE FRANCE / ANCIEN MARCHE/UNICAFE/FEU ENCIENNE GENDARMERIE,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ANY,Anyama,ACIENNE,ANCIENNE GENDARMERIE/ BELLE VILLE MORGUE/ GARE /ADZOPE/AGBOVILLE,LKA SERVICES
,CI1,Cote d'Ivoire,SOUTHDIV,ABIDJAN,SOUTH DIVISION,SOUTH2,ABIDJAN 2,SOUTH 2 REGION,ANY,Anyama,CÄTEAU,CHÄTEAU/MARCHE COLA/MARCHE D'ANYAMA/DON ORION/AZAGUIE/BILDA AZAGUIE AWA ATTINGUE,LKA SERVICES
