id,code,nom,territoire_code
"213","MOKE","MOCKEYVILLE/UNIVERSITÉ AMÉRICAINE/ EDOUKOU MIEZAN/QUARTIER ARTISANAL/MODESTE/ANANI/MOOSOU 1","BAS"
"214","VETO","VETOCO/MOOSOU2/IMPERIAL/DOS/QUARTIER FRANCE/DIOULABOUGOU/AZURETI","BAS"
"215","ANAN","ANANI/DOS/ DIOULABOUGO/PETIT MARCHÉ","BAS"
"216","8KLO","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"217","YAOU","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI/SAMO/ASSINIE","BAS"
"218","CTREV","8 KILOS/ YAOU/CENTRE VILLE/BEGNERI","BAS"
"219","DJELI","DJELIBA /TP/ PARCERELLE/KONAN KAN/BOIS BLANC/ AYEBO/ADAOU","ABO"
"220","DIATEK","DIATEKRO/SOKORA/CCE/WATTVILLE/BELLEVILLE/SOS/DOSOBAH/CITÉ KOUMI/LYCÉE/ KRINDJABO/KOLAIWA/SANHOUMAN","ABO"
"221","AYME","AYAMÉ/EBIKRA/AKRESIE/N'ZIKRO/BABADOUGOU/EBOUÉ/ABY/ADJOUAN/MOYASSUÉ/AKAKRO/  V1/V2/KRINDJABO/KASSIKRO","ABO"
"222","ADKE","ADIAKÉ/ABOISSO/AYAMÉ/ KRINDJABO/ NOÉ/ ASSE/SOUMIÉ/N'ZIKRO/ KOFFIKRO/BABADOUGOU/ CARF AHENOUA/ADAOU","ABO"
"223","AGBA","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"224","CTEFER","AGBAN VILLAGE / CITE FERMONT / ATTECOUBE CENTRE / PLATEAU CENTRE / MARCHE DE FRUIT","PLA"
"225","ATTC","YOPOUGON 1 & 2","YOP 1"
"226","WASS","WASSAKARA /  SELMER / SICOGI","YOP 1"
"227","SELM","WASSAKARA /  SELMER / SICOGI","YOP 1"
"228","SBLE","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"229","MILLI","YOPOUGON SABLE / MILLIONNAIRE / NOUVEAU QUARTIER","YOP 1"
"230","NGON","NIANGON NORD / SIDECI","YOP 1"
"231","TOROU","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"232","LKOD","TOIT ROUGE / LOKODJRO / ATTECOUBE MOSSIKRO","YOP 1"
"233","NGOS","NIANGON SUD / AZITO","YOP 2"
"234","AZTO","NIANGON SUD/ AZITO","YOP 2"
"235","KTE","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"236","BEAG","KOUTÉ/ PETIT TOIT ROUGE/ BÉAGO","YOP 2"
"237","KWEI","KOWEIT/ SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"238","YOPS","KOWEIT/ YOPOUGON SANTÉ/ ABOBO DOUMÉ/ AGBAYATÉ","YOP 2"
"239","ADKOI","ANDOKOI/ UNIWAX/CRF ZONE /PRISON CIVILE/SODEFOR  ET CITÉ ADO","YOP 3"
"240","ZNEIND","ZONE INDUSTRIELLE/ MICAO/GESCO FOURRIÈRE/ PK22/SIKENSI/ATTINGUÉ","YOP 3"
"398","DJELI","DJELIBA /TP/ PARCERELLE/KONAN KAN/BOIS BLANC/ AYEBO/ADAOU","ABO"
"241","MCAO","ANDOKOI/ UNIWAX/ ZONE INDUSTRIELLE/ MICAO GESCO FOURRIÈRE/PRISON CIVILE/ SODEFOR/CITÉ ADO......","YOP 3"
"242","GSCO","ANDOKOI/UNIWAX/ ZONE INDUSTRIELLE/ MICAO/ GESCO FOURRIÈRE/ PRISON CIVILE/ SODEFOR ET CITÉ ADO....","YOP 3"
"243","SPOREXBANCO2/ ABOULAYE DIALLO/ ANANE","SIPOREX/ BANCO2/ ABOULAYE DIALLO/ ANANERAIE/ MAMIE ADJOUA/PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS","YOP 3"
"244","PRTBOU","PORT BOUET 2/CRF CHU/MOSQUÉE KOUDOUS/ ANANERAIE/ FUSCOM PORT BOUET 2/RD POINT GESCO","YOP 3"
"245","AANERAIEANANERAI","ANANERAIE/ GESCO RD POINT/ BATIM/MAMIE ADJOUA","YOP 3"
"246","LBAFRIQUEJATARK","LUBAFRIQUE/ JATARK/ LOKOA/CITÉ VERTE/BAGNON/ LIÈVRE ROUGE/KM17/BIMBRESSO/","YOP 4"
"247","CNEO","MATY/CANARI /ANTENNE/ SICOGI ATTIÉ/NIANGON À DROITE/ NIANGON CONTINUE/ CITÉ EECI","YOP 4"
"248","KBIM","KM17/BIMBRESSO/  ́JATARK/LOKOA CITÉ VERTE/ LIÈVRE ROUGE","YOP 4"
"249","DCCO","SICOGI ATTIÉ/ST ANDRÉ CÔTÉ DROIT/ PMI/AIMÉ CESAIRE/BON PRIX/ CRF BOBY & POLICIER CÔTÉ DROIT/BAR ECLA","YOP 4"
"250","TRMINUSNUS","TERMINUS 47 SECTEUR DROIT/ SICOGI PMI/ TIKEN DJA/BMW/KIMI","YOP 4"
"251","AADÉMIEMIE","ACADÉMIE/ FIN GOUDRON/ PAYS BAS/CAISTAB/CITÉ LAURIER/ CITÉ VERTE","YOP 4"
